BMI Range,Meal Plan
Obese,"Oatmeal topped with fresh berries and a sprinkle of nuts or seeds"
Obese,"Greek yogurt with sliced banana and a drizzle of honey"
Obese,"Whole grain toast with avocado and poached eggs"
Obese,"Grilled chicken or tofu salad with mixed greens, vegetables, and a light vinaigrette dressing"
Obese,"Quinoa or brown rice bowl with black beans, roasted vegetables, and salsa"
Obese,"Turkey and vegetable wrap with whole grain tortilla and a side of fruit"
Obese,"Baked or grilled salmon with roasted sweet potatoes and steamed broccoli"
Obese,"Stir-fried vegetables with lean protein (chicken, tofu, shrimp) and brown rice"
Obese,"Turkey meatballs with whole wheat pasta and marinara sauce"
Obese,"Sliced apple with peanut butter or almond butter"
Obese,"Low-fat cottage cheese with sliced tomatoes"
Obese,"Whole grain crackers with low-fat cheese"
