BMI Range,Meal Plan
Normal Weight,"Whole grain cereal with low-fat milk or yogurt, topped with fresh fruit"
Normal Weight,"Whole grain toast with scrambled eggs or avocado"
Normal Weight,"Oatmeal topped with nuts, seeds, and a drizzle of honey or maple syrup"
Normal Weight,"Grilled chicken or tofu salad with mixed greens, vegetables, and a light vinaigrette dressing"
Normal Weight,"Whole grain wrap filled with turkey, lettuce, tomato, and avocado"
Normal Weight,"Lentil soup with whole grain bread and a side of mixed fruit"
Normal Weight,"Baked salmon or tofu with quinoa or brown rice and steamed vegetables"
Normal Weight,"Spaghetti with lean turkey meatballs and a side salad"
Normal Weight,"Stir-fried vegetables with tofu or shrimp and brown rice"
Normal Weight,"Greek yogurt with honey and berries"
Normal Weight,"Popcorn sprinkled with nutritional yeast or cinnamon"
Normal Weight,"Sliced bell peppers with guacamole"
